site,data.source,day,month,year,section,distance.m,ch.spawn,ch.hold,ch.live.total,ch.live.est,reliability,pi.spawn,pi.hold,pi.live.total,pi.live.est,reliability,co.live.total,co.live.est,reliability,so.live.total,so.live.est,reliability,ch.bear,ch.wolf,ch.senes,ch.unknown,ch.dead.total,ch.dead.est,pi.bear,pi.wolf,pi.senes,pi.unknown,pi.dead.total,pi.dead.est,co.dead total,co.dead.est,Pink.active.spawning,Chum.active.spawning,Coho.active.spawning,Fish.countability,Sky.brightness,Windy,Precipitation.type,Precipitation.intensity,Bankfull,Water.colour,Stream.visibility,Rational.estimated.live,Rational.estimated.dead,NOTES
Bullock Main,SFU,11,9,2018,estuary,0,0,4,4,,,0,3,3,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,1,50,33,0,33,,,18,0,18,,,0,,,0,,,1,0,0,1,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,2,100,89,0,89,,,30,0,30,,,0,,,0,,,1,0,2,0,3,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,3,150,60,0,60,,,16,0,16,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,4,200,192,0,192,,,14,0,14,,,0,,,0,,,0,0,2,0,2,,1,0,0,0,1,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,5,250,139,0,139,,,8,0,8,,,1,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,6,300,43,0,43,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,7,350 R,79,0,79,,,0,0,0,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,8,400 R,138,0,138,,,2,0,2,,,0,,,0,,,2,0,3,2,7,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,9,450 R,143,0,143,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,10,500 R,225,0,225,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,11,350 L,11,0,11,,,2,0,2,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,12,400 L,41,0,41,,,2,0,2,,,0,,,0,,,1,0,1,0,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,13,450 L,41,0,41,,,1,0,1,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,14,500 L,28,0,28,,,0,0,0,,,0,,,0,,,2,0,0,0,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,11,9,2018,total,700,1262,4,1266,,H,93,3,96,,H,1,,H,0,,H,7,0,10,3,20,,1,0,0,0,1,,0,,Before,Start,,Excellent,Bright,No,None,,Above Normal,"Clear, DTDT",H,Chum look very fresh,"Very few dead, looked very fresh",Lots of bear sign (fresh kill and trails)
Goatbushu,SFU,12,9,2018,estuary,0,0,36,36,,,0,116,116,,,2,,,0,,,1,0,0,0,1,,1,0,0,0,1,,0,,,,,,,,,,,,,,,
Goatbushu,SFU,12,9,2018,total,0,0,36,36,,L,0,116,116,,L,2,,L,0,,L,1,0,0,0,1,,1,0,0,0,1,,0,,Before,Start,,Good,Full,,None,,Below Normal,DTDT,H,Chum look very fresh,"Very few dead, only bear predated and almost whole carcasses were consumed","PARTIAL COUNT - only counted estuary because of bear encounter at end of estuary, 2 black bears"
Clatse,SFU,13,9,2018,estuary,0,0,15,15,,,0,225,225,,,0,,,0,,,0,0,0,1,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Clatse,SFU,13,9,2018,1,200,200,0,200,,,458,0,458,,,0,,,0,,,0,0,1,0,1,,1,0,0,0,1,,0,,,,,,,,,,,,,,,
Clatse,SFU,13,9,2018,2,400,124,0,124,,,58,0,58,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Clatse,SFU,13,9,2018,3,600,112,0,112,,,45,0,45,,,0,,,0,,,2,0,1,0,3,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Clatse,SFU,13,9,2018,4,800,99,0,99,,,0,0,0,,,0,,,0,,,2,0,0,0,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Clatse,SFU,13,9,2018,5,835,350,0,350,,,150,0,150,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Clatse,SFU,13,9,2018,total,835,885,15,900,,H,711,225,936,,H,0,,H,0,,H,4,0,2,1,7,,1,0,0,0,1,,0,,Before,Before,,Good,Bright,No,None,,Above Normal,"Clear, DTDT",H,"Last reach had H2O level very high, some white water so estimated (couldn't reach last 20m to waterfall)",looked very fresh,"Estuary counted at low tide, some white water but general clear"
Rainbow,SFU,14,9,2018,estuary,0,0,16,16,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Rainbow,SFU,14,9,2018,1,50,30,0,30,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Rainbow,SFU,14,9,2018,2,100,5,0,5,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Rainbow,SFU,14,9,2018,3,150,9,0,9,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Rainbow,SFU,14,9,2018,4,200,10,0,10,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Rainbow,SFU,14,9,2018,5,250,25,0,25,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Rainbow,SFU,14,9,2018,total,250,79,16,95,,H,0,0,0,,H,0,,H,0,,H,0,0,0,0,0,,0,0,0,0,0,,0,,Before,Before,,Excellent,Bright,No,None,,Below Normal,Clear,H,Live looked very fresh and in good condition,No dead,Estuary counted at low tide
Lee,SFU,14,9,2018,estuary,0,0,29,29,,,0,12,12,,,0,,,0,,,4,0,2,2,8,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Lee,SFU,14,9,2018,1,100,3,0,3,,,1,0,1,,,0,,,0,,,1,0,3,1,5,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Lee,SFU,14,9,2018,2,200,16,0,16,,,3,0,3,,,0,,,0,,,4,0,1,0,5,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Lee,SFU,14,9,2018,3,300,59,0,59,,,26,0,26,,,0,,,0,,,4,0,5,0,9,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Lee,SFU,14,9,2018,4,400,163,0,163,,,26,0,26,,,5,,,0,,,16,0,39,1,56,,1,0,0,0,1,,0,,,,,,,,,,,,,,,
Lee,SFU,14,9,2018,5,500,176,0,176,,,4,0,4,,,0,,,0,,,8,0,8,1,17,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Lee,SFU,14,9,2018,6,600,66,0,66,,,2,0,2,,,0,,,0,,,11,1,13,1,26,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Lee,SFU,14,9,2018,7,700,91,0,91,,,4,0,4,,,0,,,0,,,12,0,14,2,28,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Lee,SFU,14,9,2018,8,800,31,0,31,,,1,0,1,,,0,,,0,,,6,1,7,0,14,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Lee,SFU,14,9,2018,9,835,8,0,8,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Lee,SFU,14,9,2018,total,835,613,29,642,,H,67,12,79,,H,5,,H,0,,H,66,2,92,8,168,,1,0,0,0,1,,0,,Before,Before,,Good,Bright,No,None,,Below Normal,"Clear, DTDT",H,Not fresh,"Most starting to decompose, not fresh; many bear kills along streambanks",1 black bear sighting
Ripley,SFU,14,9,2018,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,3,3,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Ripley,SFU,14,9,2018,total,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,3,3,,0,0,0,0,0,,0,,,,,,,,,,,,,,,"Kayaked into pool below waterfall, only 3 dead chum underwater in estuary; PARTIAL COUNT"
Beales Left,SFU,15,9,2018,estuary,,31,0,31,,,33,0,33,,,37,,,0,,,1,9,0,5,15,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Beales Left,SFU,15,9,2018,1,50,0,0,0,,,0,0,0,,,0,,,0,,,0,7,0,0,7,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Beales Left,SFU,15,9,2018,2,100,1,0,1,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Beales Left,SFU,15,9,2018,3,150,0,0,0,,,0,0,0,,,0,,,0,,,0,1,0,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Beales Left,SFU,15,9,2018,4,200,0,0,0,,,0,0,0,,,0,,,0,,,0,0,1,0,1,,0,0,1,0,1,,0,,,,,,,,,,,,,,,
Beales Left,SFU,15,9,2018,5,235,20,0,20,,,0,0,0,,,0,,,0,,,1,1,1,0,3,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Beales Left,SFU,15,9,2018,total,235,52,0,52,,,33,0,33,,,37,,,0,,,2,18,2,5,27,,0,0,1,0,1,,0,,Before,Before,,Good,Bright,No,None,,Below Normal,"Clear, DTDT",M,"Live in last pool, and in estuary, only 1 in stream in between.",Many wolf kills in estuary and first reach.,"Beales Right not counted on this visit, HH checked it out but did not see any fish in early reach, did not record. "
Fannie Left,SFU,16,9,2018,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,1,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fannie Left,SFU,16,9,2018,1,200,46,0,46,,,18,0,18,,,2,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fannie Left,SFU,16,9,2018,2,400,26,0,26,,,6,0,6,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fannie Left,SFU,16,9,2018,3,600,128,0,128,,,4,0,4,,,0,,,0,,,0,0,3,0,3,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fannie Left,SFU,16,9,2018,4,800,130,0,130,,,1,0,1,,,30,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fannie Left,SFU,16,9,2018,5,1000,175,0,175,,,0,0,0,,,10,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fannie Left,SFU,16,9,2018,6,1200,241,0,241,,,0,0,0,,,42,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fannie Left,SFU,16,9,2018,7,1375,153,0,153,,,0,0,0,,,50,,,0,,,0,0,0,1,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fannie Left,SFU,16,9,2018,total,1375,899,0,899,,,29,0,29,,,134,,,0,,,0,0,5,2,7,,0,0,0,0,0,,0,,Before,Before,Before,Fair,Bright,No,None,,Below Normal,"Clear, DTDT",M,Very fresh,Very few dead,"No fish in the estuary, mostly in pools towards higher reaches."
Fancy Right,SFU,17,9,2018,estuary,0,0,6,6,,,0,2,2,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Right,SFU,17,9,2018,1,50,6,0,6,,,0,0,0,,,0,,,0,,,0,0,0,1,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Right,SFU,17,9,2018,2,100,3,0,3,,,0,0,0,,,0,,,0,,,1,0,1,1,3,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Right,SFU,17,9,2018,3,150,9,0,9,,,0,0,0,,,0,,,0,,,2,0,0,0,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Right,SFU,17,9,2018,4,200,4,0,4,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Right,SFU,17,9,2018,5,250,6,0,6,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Right,SFU,17,9,2018,6,300,5,0,5,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Right,SFU,17,9,2018,7,325,10,0,10,,,0,0,0,,,0,,,0,,,1,2,1,0,4,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Right,SFU,17,9,2018,total,325,43,6,49,,,0,2,2,,,0,,,0,,,4,2,2,2,10,,0,0,0,0,0,,0,,Before,Before,,Good,Bright,,None,,Normal,DTDT,M,Very fresh,Wolf predated fish were also partly eaten by another animal (skin peeled back),
Fancy Head,SFU,17,9,2018,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Head,SFU,17,9,2018,1,50,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Head,SFU,17,9,2018,2,100,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fancy Head,SFU,17,9,2018,total,100,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,Before,,,Bright,,None,,Normal,DTDT,M,,,No fish detected in estuary and next 2 reaches so stopped counting.
Jane,SFU,17,9,2018,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Jane,SFU,17,9,2018,total,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,Before,,,,,,,,,,,,"Checked from the boat, no water running in streambed so assumed no salmon"
Ada,SFU,17,9,2018,estuary,0,0,1,1,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Ada,SFU,17,9,2018,1,50,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Ada,SFU,17,9,2018,2,100,28,0,28,,,0,0,0,,,0,,,0,,,0,0,0,1,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Ada,SFU,17,9,2018,3,150,20,0,20,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Ada,SFU,17,9,2018,4,200,53,0,53,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Ada,SFU,17,9,2018,5,250,36,0,36,,,0,0,0,,,8,,,0,,,0,0,0,2,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Ada,SFU,17,9,2018,6,300,48,0,48,,,0,0,0,,,5,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Ada,SFU,17,9,2018,7,350,68,0,68,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Ada,SFU,17,9,2018,total,350,253,1,254,,,0,0,0,,,13,,,0,,,0,0,0,3,3,,0,0,0,0,0,,0,,Before,Before,,Good,Bright,No,None,,Below Normal,"Clear, DTDT",M,Fresh,very few dead,
Kill,SFU,18,9,2018,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,1,0,1,,0,0,0,1,1,,0,,,,,,,,,,,,,,,
Kill,SFU,18,9,2018,1,50,5,0,5,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kill,SFU,18,9,2018,2,100,8,0,8,,,0,0,0,,,0,,,0,,,0,0,0,2,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kill,SFU,18,9,2018,3,150,20,0,20,,,0,0,0,,,0,,,0,,,0,0,5,0,5,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kill,SFU,18,9,2018,4,200,10,0,10,,,0,0,0,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kill,SFU,18,9,2018,5,250,1,0,1,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kill,SFU,18,9,2018,6,300,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kill,SFU,18,9,2018,7,350,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kill,SFU,18,9,2018,8,400,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kill,SFU,18,9,2018,9,420,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kill,SFU,18,9,2018,total,420,44,0,44,,,0,0,0,,,0,,,0,,,0,0,7,2,9,,0,0,0,1,1,,0,,Start,Start,,Good,Medium,No,Rain,Light,Below Normal,"Clear, DTDT",M,"Relatively fresh, most live found in 2 mid reaches","Most dead were senescent, appeared to be from becoming stranded (water levels low)",Walked two reaches without fish so did not complete last reaches
Fell,SFU,18,9,2018,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fell,SFU,18,9,2018,1,25,27,0,27,,,0,0,0,,,1,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Fell,SFU,18,9,2018,total,25,27,0,27,,M,0,0,0,,M,1,,M,0,,M,0,0,0,0,0,,0,0,0,0,0,,0,,,Before,,Poor,Bright,,Rain,Light,Below Normal,DTDT,L,Fresh chum in upper pool at base of waterfall,No dead,Pool dark with tannins so difficult to see
Bullock Square,SFU,18,9,2018,estuary,0,0,28,28,,,0,0,0,,,0,,,0,,,3,0,0,1,4,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Square,SFU,18,9,2018,1,100,110,0,110,,,0,0,0,,,0,,,0,,,10,0,25,0,35,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Square,SFU,18,9,2018,2,200,41,0,41,,,0,0,0,,,0,,,0,,,4,0,1,0,5,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Square,SFU,18,9,2018,3,300,38,0,38,,,0,0,0,,,0,,,0,,,15,0,5,0,20,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Bullock Square,SFU,18,9,2018,total,300,189,28,217,,,0,0,0,,,0,,,0,,,32,0,31,1,64,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,Rain,Light,Below Normal,"Clear, DTDT",M,"Many live degrading, close to dying, also visibly bear attacked fish still living.","Many bear predated fish, some old and decomposing. Senescent fish pecked by eagles, eyes, missing. ",
Kunsoot,SFU,19,9,2018,estuary,0,0,12,12,,,0,28,28,,,0,,,0,,,0,0,0,1,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kunsoot,SFU,19,9,2018,1,100,0,0,0,,,3,0,3,,,0,,,0,,,0,0,0,1,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kunsoot,SFU,19,9,2018,2,200,72,0,72,,,127,0,127,,,0,,,0,,,1,14,0,6,21,,1,28,0,13,42,,0,,,,,,,,,,,,,,,
Kunsoot,SFU,19,9,2018,3,300,14,0,14,,,3,0,3,,,0,,,0,,,0,6,1,1,8,,0,0,0,3,3,,0,,,,,,,,,,,,,,,
Kunsoot,SFU,19,9,2018,4,400,13,0,13,,,17,0,17,,,0,,,0,,,1,1,4,10,16,,0,1,0,1,2,,0,,,,,,,,,,,,,,,
Kunsoot,SFU,19,9,2018,5,500,0,0,0,,,0,0,0,,,0,,,0,,,11,0,3,2,16,,1,0,0,1,2,,0,,,,,,,,,,,,,,,
Kunsoot,SFU,19,9,2018,6,600,4,0,4,,,4,0,4,,,0,,,0,,,17,0,4,1,22,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Kunsoot,SFU,19,9,2018,7,700,233,0,233,,,20,0,20,,,0,,,0,,,55,0,9,16,80,,1,0,0,0,1,,0,,,,,,,,,,,,,,,
Kunsoot,SFU,19,9,2018,8,800,260,0,260,,,17,0,17,,,0,,,0,,,16,0,14,20,50,,1,0,0,2,3,,0,,,,,,,,,,,,,,,
Kunsoot,SFU,19,9,2018,9,900,605,0,605,,,4,0,4,,,0,,,0,,,41,0,25,24,90,,0,0,0,1,1,,0,,,,,,,,,,,,,,,
Kunsoot,SFU,19,9,2018,total,900,1201,12,1213,,,195,28,223,,,0,,,0,,,142,21,60,82,305,,4,29,0,21,54,,0,,,,,Good,Medium,,Rain,Light,Normal,DTDT,M,"Fair amount of live fish with bite marks, some pretty old looking chum",more predated than senescent wolf predation observed much further upstream than previous years,Counted estuary last at lower tide. Both bear and wolf sign.
Troupe North,SFU,21,9,2018,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Troupe North,SFU,21,9,2018,1,50,2,0,2,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Troupe North,SFU,21,9,2018,2,100,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Troupe North,SFU,21,9,2018,3,150,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Troupe North,SFU,21,9,2018,4,180,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Troupe North,SFU,21,9,2018,total,180,2,0,2,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,Before,,Good,Medium,No,Rain,Light,Normal,"Clear, DTDT",M,"Only 2 chum in stream but more fish seen jumping in bay just outside of estuary, many of which coho. ",No dead.,Expecting to see spawning salmon at next count because still staging in bay today.
Troupe South,SFU,21,9,2018,estuary,0,0,1,1,,,0,0,0,,,3,,,0,,,1,0,0,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Troupe South,SFU,21,9,2018,1,50,3,0,3,,,0,0,0,,,25,,,0,,,4,0,0,0,4,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Troupe South,SFU,21,9,2018,2,100,0,0,0,,,0,0,0,,,0,,,0,,,2,1,0,0,3,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Troupe South,SFU,21,9,2018,3,150,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Troupe South,SFU,21,9,2018,4,195,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Troupe South,SFU,21,9,2018,total,195,3,1,4,,,0,0,0,,,28,,,0,,,7,1,0,0,8,,0,0,0,0,0,,0,,Before,Before,,Good,Medium,No,Rain,Light,Normal,"Clear, DTDT",M,"Live mostly coho, same note as Troupe North, fish still jumping in bay and have yet to move into stream, coho and chum.",Dead are chum (bear predated) and very fresh.,
Codville,SFU,22,9,2018,estuary,0,0,0,0,,,0,1,1,,,0,,,0,,,0,0,0,2,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Codville,SFU,22,9,2018,1,50,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Codville,SFU,22,9,2018,2,100,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Codville,SFU,22,9,2018,3,150,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Codville,SFU,22,9,2018,total,150,0,0,0,,,0,1,1,,,0,,,0,,,0,0,0,2,2,,0,0,0,0,0,,0,,Before,Before,,Fair,Bright,,None,,Normal,DTDT,M,,Both carcases almost completely eaten.,"1 of unknown dead chum could have been pink, just gonads left. "
Mosquito Right,SFU,23,9,2018,estuary,0,0,16,16,,,0,1,1,,,0,,,0,,,0,0,0,1,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Mosquito Right,SFU,23,9,2018,1,50,0,0,0,,,0,0,0,,,0,,,0,,,1,0,0,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Mosquito Right,SFU,23,9,2018,2,100,4,0,4,,,0,0,0,,,1,,,0,,,1,0,0,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Mosquito Right,SFU,23,9,2018,3,150,5,0,5,,,0,0,0,,,0,,,0,,,1,0,1,1,3,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Mosquito Right,SFU,23,9,2018,4,200,9,0,9,,,7,0,7,,,3,,,0,,,7,0,1,2,10,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Mosquito Right,SFU,23,9,2018,5,250,21,0,21,,,3,0,3,,,4,,,0,,,18,0,14,7,39,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Mosquito Right,SFU,23,9,2018,6,300,36,0,36,,,0,0,0,,,0,,,0,,,27,20,11,15,73,,0,3,0,0,3,,0,,,,,,,,,,,,,,,
Mosquito Right,SFU,23,9,2018,7,350,8,0,8,,,0,0,0,,,0,,,0,,,5,5,2,7,19,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Mosquito Right,SFU,23,9,2018,total,350,83,16,99,,,10,1,11,,,8,,,0,,,60,25,29,33,147,,0,3,0,0,3,,0,,Start,Start,,Good,Bright,,None,,Below Normal,DTDT,M,"Many live adults with bite marks, lots of very small coho",Much more predation higher upstream,"Estuary count shared with Mosquito Left, included here."
Mosquito Left,SFU,23,9,2018,estuary,0,0,16,16,,,0,1,1,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Mosquito Left,SFU,23,9,2018,1,50,6,0,6,,,0,0,0,,,0,,,0,,,0,2,0,1,3,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Mosquito Left,SFU,23,9,2018,2,100,4,0,4,,,0,0,0,,,0,,,0,,,3,1,0,3,7,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
Mosquito Left,SFU,23,9,2018,3,150,0,0,0,,,0,0,0,,,0,,,0,,,2,0,0,0,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,
